cenario,arquivo,tamanho_bytes,aes_encrypt_ms,aes_decrypt_ms,rsa_encrypt_ms,rsa_decrypt_ms,imsecret_encrypt_ms,imsecret_decrypt_ms
scenario-01,alice-in-wonderland-01.txt,649,0.001902998,0.001594000,0.357989404,2.366795404,0.004553500,0.005848000
scenario-01,andersen-fairy-tales-01.txt,860,0.002351499,0.002048503,0.382886452,2.910001347,0.006048500,0.005371500
scenario-01,arsene-lupin-01.txt,432,0.001642500,0.001573502,0.356524951,1.968344199,0.003484000,0.003652500
scenario-01,dracula-01.txt,825,0.002566499,0.002041002,0.400665401,2.952783100,0.007273500,0.006695500
scenario-01,gullivers-travels-01.txt,694,0.002511000,0.002081998,0.402069851,2.498583952,0.007200500,0.006639500
scenario-01,king-arthur-and-rounded-table-01.txt,945,0.002416001,0.002163997,0.395865954,2.919693257,0.007906000,0.008001500
scenario-01,king-in-yellow-01.txt,494,0.002063999,0.001901003,0.370159499,1.979163250,0.006919500,0.005115000
scenario-01,life-mississipi-01.txt,939,0.002535500,0.002217001,0.406439345,3.019609803,0.008558500,0.010252500
scenario-01,metamorphosis-01.txt,882,0.002503003,0.001992497,0.455428848,2.936658950,0.007464000,0.007353000
scenario-01,moby-dick-01.txt,938,0.002364499,0.001990499,0.420205400,2.992674302,0.008646000,0.008949000
scenario-01,the-odyssey-01.txt,754,0.002362002,0.002596999,0.481574450,2.736841496,0.006917000,0.006653000
scenario-01,the-republic-01.txt,923,0.002429500,0.001968501,0.416832000,2.992513396,0.008019000,0.008319500
scenario-01,three-musketeers-01.txt,911,0.002412499,0.002081501,0.438538251,2.975892448,0.007273500,0.008113500
scenario-01,treasure-island-01.txt,911,0.002138498,0.001945499,0.374020399,2.877051700,0.005736500,0.006793500
scenario-01,twenty-thousand-leagues-01.txt,610,0.001930002,0.001744502,0.355341900,2.416837695,0.004385000,0.004683500
scenario-01,wizard-of-oz-01.txt,836,0.001940998,0.001751998,0.349235906,3.014737051,0.005519500,0.007345000
scenario-02,alice-in-wonderland-02.txt,9502,0.009183499,0.002858001,1.059173170,24.757457601,0.068175000,0.059902000
scenario-02,andersen-fairy-tales-02.txt,8853,0.008809996,0.003234503,1.117723152,23.384664491,0.060113000,0.050953450
scenario-02,arsene-lupin-02.txt,9381,0.009294950,0.003291999,1.096802194,24.594242098,0.058218500,0.058000450
scenario-02,dracula-02.txt,9889,0.009582002,0.003393999,1.176116660,25.986365838,0.066555500,0.060708500
scenario-02,gullivers-travels-02.txt,9422,0.009376497,0.003282001,1.117684531,24.515800013,0.059778500,0.060207000
scenario-02,king-arthur-and-rounded-table-02.txt,9194,0.009411997,0.003532003,1.132423111,25.294402391,0.057857000,0.059515000
scenario-02,king-in-yellow-02.txt,9065,0.009229498,0.003584998,1.120446344,23.631843171,0.051448500,0.052440000
scenario-02,life-mississipi-02.txt,9236,0.009718503,0.002818500,1.027101901,23.326721897,0.048520000,0.050246500
scenario-02,metamorphosis-02.txt,9739,0.009346495,0.002766001,1.071146247,24.642778152,0.055857500,0.055195400
scenario-02,moby-dick-02.txt,8525,0.008257502,0.002816000,0.968999454,21.502615144,0.042962950,0.052121500
scenario-02,the-odyssey-02.txt,10019,0.009530502,0.002951501,1.082276188,25.035307955,0.048170000,0.053888500
scenario-02,the-republic-02.txt,9605,0.009061500,0.002870502,1.051255910,24.126896287,0.048142000,0.049201000
scenario-02,three-musketeers-02.txt,9367,0.009220503,0.002907997,1.039475816,23.630199991,0.048311950,0.047459000
scenario-02,treasure-island-02.txt,9314,0.008858503,0.002848504,1.052030913,24.289416003,0.052439000,0.050028500
scenario-02,twenty-thousand-leagues-02.txt,8719,0.008367001,0.002726995,0.988752200,22.192863745,0.055892000,0.051689500
scenario-02,wizard-of-oz-02.txt,9266,0.008828498,0.003420499,1.072929264,24.054264464,0.056017000,0.050466000
scenario-03,alice-in-wonderland-03.txt,53519,0.046116492,0.008368502,4.613421029,134.423202328,0.288625400,0.238151400
scenario-03,andersen-fairy-tales-03.txt,71261,0.059231000,0.009562000,5.892718682,174.965262020,0.299789400,0.283314450
scenario-03,arsene-lupin-03.txt,82986,0.070051993,0.011596508,6.816882242,204.727159449,0.390994950,0.337722900
scenario-03,dracula-03.txt,95550,0.079632999,0.013264996,8.032801675,239.445496291,0.447378500,0.431242800
scenario-03,gullivers-travels-03.txt,97377,0.083471993,0.013998001,8.290204932,244.181428488,0.509009900,0.430655400
scenario-03,king-arthur-and-rounded-table-03.txt,96621,0.082185512,0.013638493,8.291333863,245.425355437,0.455358400,0.451806000
scenario-03,king-in-yellow-03.txt,95541,0.080516504,0.013891502,8.248913970,249.278630534,0.521497450,0.467756850
scenario-03,life-mississipi-03.txt,101674,0.084464454,0.014057504,8.764072615,259.741013190,0.535955950,0.462331350
scenario-03,metamorphosis-03.txt,99060,0.082386999,0.013222001,8.609086130,252.868950950,0.468937450,0.423502450
scenario-03,moby-dick-03.txt,77978,0.065279990,0.011015497,6.728349756,196.599414525,0.372541400,0.330217950
scenario-03,the-odyssey-03.txt,100259,0.083099505,0.013440511,8.523620858,256.227734512,0.516031400,0.436855000
scenario-03,the-republic-03.txt,101331,0.084989985,0.014042009,9.084050984,269.337208465,0.595967500,0.442490950
scenario-03,three-musketeers-03.txt,93071,0.079200499,0.013308493,7.851911488,230.675368363,0.419661050,0.384912850
scenario-03,treasure-island-03.txt,99428,0.082303003,0.012850997,8.167558321,246.766023435,0.449872450,0.426962950
scenario-03,twenty-thousand-leagues-03.txt,85760,0.071417008,0.011520495,7.131866885,211.880954547,0.369726500,0.348077450
scenario-03,wizard-of-oz-03.txt,94847,0.078131001,0.012422006,7.743157467,233.379485056,0.429590000,0.394521500
scenario-04,alice-in-wonderland-04.txt,167725,0.137650039,0.023365494,13.463555092,412.563195099,0.787231450,0.697686950
scenario-04,andersen-fairy-tales-04.txt,324857,0.274205991,0.037953000,25.915243485,802.691299412,1.497871350,1.284980350
scenario-04,arsene-lupin-04.txt,337017,0.274608938,0.040084495,26.740031891,831.268336786,1.712547700,1.368263050
scenario-04,dracula-04.txt,881061,0.720950104,0.099801942,70.805005594,2221.690627912,4.535283200,3.675393650
scenario-04,gullivers-travels-04.txt,313915,0.259362441,0.038352510,25.556195835,790.692969968,1.531649550,1.293561650
scenario-04,king-arthur-and-rounded-table-04.txt,555051,0.458673409,0.065352508,44.955223552,1401.463449702,2.929320800,2.338661550
scenario-04,king-in-yellow-04.txt,431219,0.377467480,0.051755003,35.591454229,1091.609733269,2.196698650,1.958525200
scenario-04,life-mississipi-04.txt,842906,0.704609582,0.099258444,70.561482074,2177.110579667,4.509534950,3.809413800
scenario-04,metamorphosis-04.txt,140501,0.118289949,0.018354003,11.751898693,355.988330496,0.732663600,0.568838050
scenario-04,moby-dick-04.txt,1260565,1.038490094,0.147963484,101.319999674,3186.209743751,6.592107850,5.431032350
scenario-04,the-odyssey-04.txt,709915,0.590239030,0.084989485,58.040421827,1787.982066717,3.588092450,2.990342500
scenario-04,the-republic-04.txt,1457255,1.195052595,0.168545023,120.323902170,3703.279299017,8.218500850,6.583159600
scenario-04,three-musketeers-04.txt,1348855,1.105107018,0.152937944,109.757794276,3418.492153403,7.600921350,5.970082150
scenario-04,treasure-island-04.txt,391666,0.327045496,0.049038006,31.864396650,988.234811708,1.921889750,1.651063300
scenario-04,twenty-thousand-leagues-04.txt,629913,0.524285593,0.075723101,49.953764106,1566.138125825,3.141823450,2.658799100
scenario-04,wizard-of-oz.txt,232255,0.195146997,0.028267007,19.409117999,583.000100358,1.287212050,1.077839650
